0,0.0000,"bethany"
0,0.0000,"bobby"
0,0.0000,"brittany"
0,0.0000,"krueger"
0,0.0000,"krüger"
0,0.0000,"kühl"
0,0.0000,"mueler"
0,0.0000,"mueller"
0,0.0000,"ronchi"
0,0.0000,"shawn"
0,0.0000,"vogel"
0,0.0000,"volkmann"
34,0.0000,"klein"
36,0.0000,"mason"
37,0.0000,"cheryl"
42,0.0000,"medici"
47,0.0000,"megan"
47,0.0000,"tyler"
48,0.0000,"russell"
51,0.0000,"kyle"
72,0.0000,"austin"
83,0.0000,"timothy"
86,0.0000,"muler"
87,0.0000,"bradley"
103,0.0001,"jeremy"
132,0.0001,"justin"
139,0.0001,"raymond"
156,0.0001,"chloe"
160,0.0001,"carolyn"
190,0.0001,"vincent"
201,0.0001,"kathryn"
225,0.0001,"bob"
248,0.0001,"willie"
316,0.0002,"jeffrey"
320,0.0002,"morgan"
346,0.0002,"amy"
347,0.0002,"lawrence"
348,0.0002,"sean"
368,0.0002,"susie"
378,0.0002,"donald"
388,0.0002,"kenneth"
444,0.0002,"marilyn"
566,0.0003,"louis"
609,0.0003,"wayne"
621,0.0003,"dorothy"
659,0.0004,"dylan"
669,0.0004,"gerald"
791,0.0004,"logan"
801,0.0004,"madison"
904,0.0005,"brandon"
1118,0.0006,"arnold"
1166,0.0006,"joshua"
1207,0.0007,"muller"
1402,0.0008,"sharon"
1524,0.0008,"scarlet"
1641,0.0009,"tiffany"
1659,0.0009,"josie"
1709,0.0009,"kleverson"
1793,0.0010,"edward"
1976,0.0011,"ashley"
2020,0.0011,"paul"
2097,0.0011,"joe"
2200,0.0012,"caleb"
2442,0.0013,"hannah"
2551,0.0014,"norton"
2719,0.0015,"christopher"
2955,0.0016,"joseph"
3096,0.0017,"oliver"
3195,0.0017,"dennis"
3222,0.0018,"gregory"
3479,0.0019,"robinson"
3542,0.0019,"susan"
4056,0.0022,"marjorie"
4223,0.0023,"kathleen"
4750,0.0026,"mike"
4846,0.0026,"cynthia"
4888,0.0027,"jerry"
4895,0.0027,"kimberly"
5051,0.0028,"nicholas"
5352,0.0029,"luigi"
5742,0.0031,"jason"
6222,0.0034,"anthony"
7332,0.0040,"herbert"
8005,0.0044,"albert"
8311,0.0045,"jordan"
8548,0.0047,"andrew"
10211,0.0056,"francis"
10381,0.0057,"deborah"
10488,0.0057,"stephanie"
11463,0.0063,"christian"
11466,0.0063,"brian"
12966,0.0071,"bryan"
13061,0.0071,"agatha"
16230,0.0089,"franklin"
19073,0.0104,"cleverson"
19753,0.0108,"john"
19935,0.0109,"james"
20543,0.0112,"alexander"
27222,0.0149,"ronald"
30047,0.0164,"evelyn"
30416,0.0166,"adrian"
33901,0.0185,"washington"
34333,0.0188,"ryan"
35155,0.0192,"shirley"
35296,0.0193,"kevin"
36228,0.0198,"sarah"
38277,0.0209,"helen"
38733,0.0212,"robert"
40981,0.0224,"roger"
45735,0.0250,"juan"
49456,0.0270,"patrick"
57677,0.0315,"jonathan"
61528,0.0336,"william"
62271,0.0340,"emily"
66277,0.0362,"michael"
70525,0.0385,"erick"
71897,0.0393,"elton"
72579,0.0396,"eric"
72963,0.0399,"marlon"
177935,0.0972,"emerson"
200581,0.1096,"nelson"
207442,0.1133,"alan"
